Chicken Fir Bacteria,20
Xianzongye (Bag) (1),20
Black Mushroom (Bag),20
Water Chestnut (Bag),20
Xianzongye (Bag) (2),20
Xianzongye (Bag) (3),20
Wild Lotus Root (2),19
Millet Pepper (Bag),19
7 Colour Pepper (2),19
Needle Mushroom (2),19
Red Bell Pepper (2),19
Wild Lotus Root (1),19
Red Lotus Root Zone,19
Black Porcini (Box),19
The Steak Mushrooms,19
Purple Screw Pepper,19
7 Colour Pepper (1),19
Needle Mushroom (1),19
Green Eggplant (1),18
Xixia Mushroom (1),18
Net Lotus Root (1),18
Green Hangjiao (1),18
Local Shanghaiqing,18
Purple Cabbage (1),18
Net Lotus Root (2),18
Hongshan Shoutidai,18
Purple Hot Peppers,18
Purple Cabbage (2),18
Green Eggplant (2),18
Round Eggplant (1),18
Net Lotus Root (3),18
Cabbage Stem (Bag),18
Fruit Pepper (Bag),18
Luosi Pepper (Bag),18
Round Eggplant (2),18
Embroidered Aureus,18
Honghu Lotus Root,17
Green Line Pepper,17
Yellow Baicai (1),17
Bell Pepper (Bag),17
Xiaoqingcai (Bag),17
Hongshujian (Bag),17
Shuanggou Cabbage,17
Hongshan Gift Box,17
Panax Notoginseng,17
Tremella (Flower),17
Yellow Xincai (1),17
Zhijiang Red Bolt,17
Jigu Mushroom (1),17
Green Hot Peppers,17
Sichuan Red Cedar,17
Niushou Shengcai,16
Chopped Red Pine,16
Xiuzhen Mushroom,16
Sophora Japonica,16
Red Coral (Leaf),16
Red Pepper (Bag),16
Xiaozhoupi (Bag),16
Ice Grass (Box),15
Bell Pepper (2),15
Huangxincai (2),15
Huangbaicai (2),15
Dalong Eggplant,15
Hongshan Caitai,15
Yuxingcao (Bag),15
Xiaoqingcai (2),15
Xiaoqingcai (1),15
Yunnan Shengcai,15
Chinese Cabbage,15
Red Hot Peppers,15
Chinese Cabbage,15
Yunnan Lettuces,15
Red Hang Pepper,15
Bell Pepper (1),15
Red Line Pepper,15
Round Eggplant,14
Black Rapeseed,14
High Melon (1),14
Red Pepper (1),14
Niushou Youcai,14
Naibai Caimiao,14
Qinggengsanhua,14
Water Chestnut,14
Lotus Root Tip,14
Amaranth (Bag),14
Red Pepper (2),14
High Melon (2),14
Zhuyecai (Bag),14
Fresh Sea (2),13
Purple Beicai,13
Muercai (Bag),13
Black Porcini,13
The Dandelion,13
Spinach (Bag),13
Radish Leaves,13
Ping Mushroom,13
Millet Pepper,13
Local Spinach,13
Luosi Pepper,12
Shanghaiqing,12
White Caitai,12
Eggplant (2),12
Caixin (Bag),12
Juhua Youcai,12
Changxianqie,12
Green Caitai,12
Big Broccoli,12
Hua Eggplant,12
Zhimaxiancai,12
Eggplant (1),12
Red Oak Leaf,12
Green Butter,12
Basil (Bag),11
Miantiaocai,11
Fruit Chili,11
Huanghuacai,11
Hongshujian,11
Lotus (Ea),10
Lotus Root,10
Wandoujian,10
Nanguajian,10
Xiaozhoupi,10
Pepper Mix,10
Malan Head,10
Jigu (Bag),10
Xianzongye,10
"Yuxingcao ",9
Longyacai,9
Youcaitai,9
Siguajian,9
Naibaicai,9
Yuganjiao,9
Machixian,9
Ice Grass,9
Broccoli,8
Amaranth,8
Zhuyecai,8
"Hericium ",8
Ganlanye,8
Broccoli,8
Jigu (2),8
Chuncai,7
Mustard,7
Lameizi,7
Muercai,7
Perilla,7
Kuaicai,7
Wawacai,7
Spinach,7
Caixin,6
Aihao,5
Jicai,5
Mint,4
